neighbourhood,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
52,40.64749,-73.97237,1,9,0.21,6,365,149
9,40.75362,-73.98377,1,45,0.38,2,355,225
2,40.80902,-73.9419,3,0,0.0,1,365,150
19,40.68514,-73.95976,1,270,4.64,1,194,89
10,40.79851,-73.94399,10,9,0.1,1,0,80
25,40.74767,-73.975,3,74,0.59,1,129,200
1,40.68688,-73.95596,45,49,0.4,1,0,60
5,40.76489,-73.98493,2,430,3.47,1,220,79
4,40.80178,-73.96723,2,118,0.99,1,0,79
31,40.71344,-73.99037,1,160,1.33,4,188,150
4,40.80316,-73.96545,5,53,0.43,1,6,135
5,40.76076,-73.98867,2,188,1.5,1,39,85
39,40.66829,-73.98779,4,167,1.34,3,314,89
4,40.79826,-73.96113,2,113,0.91,1,333,85
16,40.7353,-74.00525,90,27,0.22,1,0,120
0,40.70837,-73.95352,2,148,1.2,1,46,140
24,40.69169,-73.97185,2,198,1.72,1,321,215
12,40.74192,-73.99501,1,260,2.12,1,12,140
8,40.67592,-73.94694,3,53,4.44,1,21,99
10,40.79685,-73.94872,7,0,0.0,2,249,190
0,40.71842,-73.95718,3,9,0.07,1,0,299
22,40.68069,-73.97706,2,130,1.09,6,347,130
22,40.67989,-73.97798,1,39,0.37,6,364,80
22,40.68001,-73.97865,2,71,0.61,6,304,110
1,40.68371,-73.94028,2,88,0.73,2,233,120
54,40.65599,-73.97519,1,19,1.37,2,85,60
41,40.86754,-73.92639,4,0,0.0,1,0,80
5,40.76715,-73.98533,10,58,0.49,1,75,150
41,40.86482,-73.92106,3,108,1.11,3,311,44
6,40.7292,-73.98542,14,29,0.24,1,67,180
2,40.82245,-73.95104,3,242,2.04,3,355,50
2,40.81305,-73.95466,2,88,1.42,1,255,52
11,40.72219,-73.93762,4,197,1.65,3,284,55
2,40.8213,-73.95318,3,273,2.37,3,359,50
1,40.6831,-73.95473,1,74,0.66,2,269,70
39,40.66869,-73.9878,4,168,1.41,3,340,89
1,40.68876,-73.94312,60,0,0.0,1,365,35
3,40.70186,-73.92745,2,231,1.96,2,22,85
18,40.63702,-73.96327,1,0,0.0,1,365,150
13,40.71401,-73.98917,1,214,1.81,4,188,40
6,40.7229,-73.98199,2,245,2.08,2,96,68
39,40.66278,-73.97966,3,15,0.39,1,345,120
24,40.69673,-73.97584,7,25,0.23,1,311,120
4,40.79009,-73.97927,4,81,0.69,1,273,135
2,40.81175,-73.94478,7,97,0.84,1,309,150
21,40.65944,-73.96238,29,11,0.49,1,95,150
20,40.74771,-73.9474,3,248,2.25,1,215,130
1,40.68111,-73.95591,7,61,0.52,1,265,110
1,40.68554,-73.9409,3,11,0.1,1,0,115
24,40.69142,-73.97376,3,135,1.16,2,192,80
1,40.68043,-73.93934,1,112,1.01,3,251,80
4,40.78635,-73.97008,2,73,0.63,1,302,151
0,40.7042,-73.9356,3,82,0.7,1,140,228
11,40.73506,-73.95392,2,328,2.82,1,234,144
26,40.73961,-73.98074,7,19,0.22,1,257,200
0,40.70881,-73.9593,30,105,0.9,1,30,150
13,40.72004,-73.99104,5,19,0.17,1,301,110
5,40.75531,-73.99293,2,289,2.49,2,294,69
11,40.72401,-73.93788,4,138,1.19,3,320,49
33,40.7221,-73.99775,30,21,0.3,1,154,180
0,40.71185,-73.96204,2,42,0.38,1,263,80
12,40.74623,-73.9953,180,5,0.12,1,180,375
7,40.77065,-73.95269,2,66,0.57,2,231,250
34,40.67811,-73.96428,30,143,1.33,2,297,200
19,40.69,-73.96788,7,27,0.23,2,292,55
5,40.75979,-73.99119,30,191,1.65,1,191,52
22,40.67343,-73.98338,3,4,0.16,1,0,225
6,40.72649,-73.97904,1,338,4.72,2,72,80
0,40.70933,-73.96792,1,148,1.4,1,362,275
6,40.72298,-73.98474,1,106,1.26,2,336,99
10,40.80164,-73.93922,4,190,1.64,1,215,225
6,40.72162,-73.98008,9,49,0.43,1,116,230
5,40.76342,-73.98865,7,23,0.43,1,88,51
15,40.83139,-73.94095,2,49,1.6,2,336,65
19,40.68346,-73.96374,2,105,0.92,1,304,105
6,40.72828,-73.98801,5,21,0.2,1,224,190
7,40.76865,-73.95058,1,142,1.5,1,322,200
44,40.75038,-73.90334,30,25,0.22,1,324,70
24,40.6932,-73.97267,3,143,1.28,1,132,95
12,40.74138,-74.00197,3,167,1.65,1,295,150
0,40.71154,-73.96112,3,61,0.54,4,238,145
2,40.82915,-73.95136,31,54,0.49,1,209,110
13,40.71851,-73.98892,5,70,0.62,1,328,285
18,40.65401,-73.96323,6,16,0.15,1,38,130
13,40.7114,-73.98794,30,94,0.84,1,188,94
55,40.69723,-73.99268,1,25,0.24,1,7,800
0,40.71833,-73.95748,3,61,0.53,1,272,105
6,40.72334,-73.9844,3,194,1.73,1,26,60
6,40.72912,-73.98057,1,2,0.05,1,0,50
0,40.71156,-73.96218,3,174,1.54,4,288,85
3,40.70032,-73.9383,4,24,0.28,1,317,65
34,40.68233,-73.97261,4,166,3.4,1,207,131
19,40.68634,-73.966,7,16,0.2,6,185,98
34,40.68035,-73.97162,7,21,0.3,1,158,250
0,40.70984,-73.95775,5,168,1.57,1,0,100
3,40.70093,-73.92609,3,118,1.05,2,9,105
4,40.79764,-73.96177,3,81,0.71,1,198,140
2,40.82803,-73.94731,1,1,0.11,1,365,89
12,40.74008,-74.00271,30,30,0.27,2,364,98
1,40.68413,-73.92357,7,139,1.23,2,311,125
2,40.82279,-73.95139,3,11,0.87,3,219,60
45,40.67967,-74.00154,2,233,2.09,3,342,175
15,40.83927,-73.94281,2,68,0.6,1,312,65
16,40.73096,-74.00319,4,46,0.55,2,243,500
0,40.71332,-73.94177,3,335,3.02,1,152,101
22,40.66941,-73.98109,30,88,0.79,1,9,220
1,40.68373,-73.92377,90,162,1.46,2,137,125
0,40.71459,-73.94844,30,29,0.4,1,222,80
2,40.8092,-73.94421,2,170,1.61,1,346,100
42,40.68157,-73.98989,30,19,0.2,1,208,200
5,40.75527,-73.99291,2,334,3.0,2,279,59
19,40.68698,-73.96572,2,19,0.2,6,250,125
