id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_ts
2539,2787,1,52,40.64749,-73.97237,1,149,1,9,0.21,6,365,1539907200000000000
2595,2845,0,9,40.75362,-73.98377,0,225,1,45,0.38,2,355,1558396800000000000
3647,4632,0,2,40.80902,-73.9419,1,150,3,0,0.0,1,365,1301270400000000000
3831,4869,1,19,40.68514,-73.95976,0,89,1,270,4.64,1,194,1562284800000000000
5022,7192,0,10,40.79851,-73.94399,0,80,10,9,0.1,1,0,1542585600000000000
5099,7322,0,25,40.74767,-73.975,0,200,3,74,0.59,1,129,1561161600000000000
5121,7356,1,1,40.68688,-73.95596,1,60,45,49,0.4,1,0,1507161600000000000
5178,8967,0,5,40.76489,-73.98493,1,79,2,430,3.47,1,220,1561334400000000000
5203,7490,0,4,40.80178,-73.96723,1,79,2,118,0.99,1,0,1500595200000000000
5238,7549,0,31,40.71344,-73.99037,0,150,1,160,1.33,4,188,1560038400000000000
5295,7702,0,4,40.80316,-73.96545,0,135,5,53,0.43,1,6,1561161600000000000
5441,7989,0,5,40.76076,-73.98867,1,85,2,188,1.5,1,39,1561248000000000000
5803,9744,1,39,40.66829,-73.98779,1,89,4,167,1.34,3,314,1561334400000000000
6021,11528,0,4,40.79826,-73.96113,1,85,2,113,0.91,1,333,1562284800000000000
6090,11975,0,16,40.7353,-74.00525,0,120,90,27,0.22,1,0,1540944000000000000
6848,15991,1,0,40.70837,-73.95352,0,140,2,148,1.2,1,46,1561766400000000000
7097,17571,1,24,40.69169,-73.97185,0,215,2,198,1.72,1,321,1561680000000000000
7322,18946,0,12,40.74192,-73.99501,1,140,1,260,2.12,1,12,1561939200000000000
7726,20950,1,8,40.67592,-73.94694,0,99,3,53,4.44,1,21,1561161600000000000
7750,17985,0,10,40.79685,-73.94872,0,190,7,0,0.0,2,249,1301270400000000000
7801,21207,1,0,40.71842,-73.95718,0,299,3,9,0.07,1,0,1325030400000000000
8024,22486,1,22,40.68069,-73.97706,1,130,2,130,1.09,6,347,1561939200000000000
8025,22486,1,22,40.67989,-73.97798,1,80,1,39,0.37,6,364,1546300800000000000
8110,22486,1,22,40.68001,-73.97865,1,110,2,71,0.61,6,304,1562025600000000000
8490,25183,1,1,40.68371,-73.94028,0,120,2,88,0.73,2,233,1560902400000000000
8505,25326,1,54,40.65599,-73.97519,1,60,1,19,1.37,2,85,1561248000000000000
8700,26394,0,41,40.86754,-73.92639,1,80,4,0,0.0,1,0,1301270400000000000
9357,30193,0,5,40.76715,-73.98533,0,150,10,58,0.49,1,75,1502582400000000000
9518,31374,0,41,40.86482,-73.92106,1,44,3,108,1.11,3,311,1560556800000000000
9657,21904,0,6,40.7292,-73.98542,0,180,14,29,0.24,1,67,1555632000000000000
9668,32294,0,2,40.82245,-73.95104,1,50,3,242,2.04,3,355,1559347200000000000
9704,32045,0,2,40.81305,-73.95466,1,52,2,88,1.42,1,255,1560470400000000000
9782,32169,1,11,40.72219,-73.93762,1,55,4,197,1.65,3,284,1560556800000000000
9783,32294,0,2,40.8213,-73.95318,1,50,3,273,2.37,3,359,1561939200000000000
10452,35935,1,1,40.6831,-73.95473,1,70,1,74,0.66,2,269,1557619200000000000
10962,9744,1,39,40.66869,-73.9878,1,89,4,168,1.41,3,340,1561075200000000000
11452,7355,1,1,40.68876,-73.94312,1,35,60,0,0.0,1,365,1301270400000000000
11708,44145,1,3,40.70186,-73.92745,0,85,2,231,1.96,2,22,1561161600000000000
11943,45445,1,18,40.63702,-73.96327,1,150,1,0,0.0,1,365,1301270400000000000
12048,7549,0,13,40.71401,-73.98917,2,40,1,214,1.81,4,188,1562284800000000000
12192,46978,0,6,40.7229,-73.98199,1,68,2,245,2.08,2,96,1561075200000000000
12299,47610,1,39,40.66278,-73.97966,0,120,3,15,0.39,1,345,1558915200000000000
12303,47618,1,24,40.69673,-73.97584,1,120,7,25,0.23,1,311,1538265600000000000
12318,16800,0,4,40.79009,-73.97927,1,135,4,81,0.69,1,273,1560643200000000000
12343,47727,0,2,40.81175,-73.94478,0,150,7,97,0.84,1,309,1560384000000000000
12627,49670,1,21,40.65944,-73.96238,0,150,29,11,0.49,1,95,1559692800000000000
12937,50124,2,20,40.74771,-73.9474,1,130,3,248,2.25,1,215,1561939200000000000
12940,50148,1,1,40.68111,-73.95591,0,110,7,61,0.52,1,265,1558742400000000000
13050,50846,1,1,40.68554,-73.9409,0,115,3,11,0.1,1,0,1483228800000000000
13394,52335,1,24,40.69142,-73.97376,1,80,3,135,1.16,2,192,1560729600000000000
13808,54275,1,1,40.68043,-73.93934,1,80,1,112,1.01,3,251,1560643200000000000
14287,56094,0,4,40.78635,-73.97008,0,151,2,73,0.63,1,302,1562457600000000000
14290,56104,1,0,40.7042,-73.9356,0,228,3,82,0.7,1,140,1558051200000000000
14314,56246,1,11,40.73506,-73.95392,0,144,2,328,2.82,1,234,1561766400000000000
14322,56284,0,26,40.73961,-73.98074,0,200,7,19,0.22,1,257,1553472000000000000
14377,56512,1,0,40.70881,-73.9593,0,150,30,105,0.9,1,30,1561161600000000000
14991,59023,0,13,40.72004,-73.99104,1,110,5,19,0.17,1,301,1558137600000000000
15220,59734,0,5,40.75531,-73.99293,1,69,2,289,2.49,2,294,1560038400000000000
15338,32169,1,11,40.72401,-73.93788,1,49,4,138,1.19,3,320,1559606400000000000
15341,60049,0,33,40.7221,-73.99775,0,180,30,21,0.3,1,154,1561766400000000000
15385,60252,1,0,40.71185,-73.96204,1,80,2,42,0.38,1,263,1561852800000000000
15396,60278,0,12,40.74623,-73.9953,0,375,180,5,0.12,1,180,1541203200000000000
15711,61491,0,7,40.77065,-73.95269,0,250,2,66,0.57,2,231,1553904000000000000
16326,63588,1,34,40.67811,-73.96428,0,200,30,143,1.33,2,297,1548460800000000000
16338,63613,1,19,40.69,-73.96788,1,55,7,27,0.23,2,292,1506729600000000000
16421,63924,0,5,40.75979,-73.99119,1,52,30,191,1.65,1,191,1557964800000000000
16458,64056,1,22,40.67343,-73.98338,0,225,3,4,0.16,1,0,1506211200000000000
16580,64442,0,6,40.72649,-73.97904,1,80,1,338,4.72,2,72,1561939200000000000
16595,64522,1,0,40.70933,-73.96792,0,275,1,148,1.4,1,362,1561248000000000000
16821,4396,0,6,40.72298,-73.98474,1,99,1,106,1.26,2,336,1561075200000000000
16974,65837,0,10,40.80164,-73.93922,0,225,4,190,1.64,1,215,1561248000000000000
17037,66035,0,6,40.72162,-73.98008,0,230,9,49,0.43,1,116,1526256000000000000
17092,66243,0,5,40.76342,-73.98865,1,51,7,23,0.43,1,88,1559347200000000000
17693,68428,0,15,40.83139,-73.94095,1,65,2,49,1.6,2,336,1560816000000000000
17747,68599,1,19,40.68346,-73.96374,1,105,2,105,0.92,1,304,1561507200000000000
18127,69829,0,6,40.72828,-73.98801,0,190,5,21,0.2,1,224,1546387200000000000
18152,69942,0,7,40.76865,-73.95058,1,200,1,142,1.5,1,322,1562371200000000000
18198,70091,2,44,40.75038,-73.90334,1,70,30,25,0.22,1,324,1559260800000000000
18590,71512,1,24,40.6932,-73.97267,1,95,3,143,1.28,1,132,1560643200000000000
18728,71876,0,12,40.74138,-74.00197,1,150,3,167,1.65,1,295,1559001600000000000
18764,72014,1,0,40.71154,-73.96112,1,145,3,61,0.54,4,238,1555891200000000000
19159,73051,0,2,40.82915,-73.95136,0,110,31,54,0.49,1,209,1553299200000000000
19169,73128,0,13,40.71851,-73.98892,0,285,5,70,0.62,1,328,1561852800000000000
19282,73469,1,18,40.65401,-73.96323,0,130,6,16,0.15,1,38,1560556800000000000
19319,44263,0,13,40.7114,-73.98794,1,94,30,94,0.84,1,188,1554681600000000000
19601,74303,1,55,40.69723,-73.99268,0,800,1,25,0.24,1,7,1470268800000000000
19812,74857,1,0,40.71833,-73.95748,0,105,3,61,0.53,1,272,1533772800000000000
20299,62407,0,6,40.72334,-73.9844,1,60,3,194,1.73,1,26,1561852800000000000
20300,76627,0,6,40.72912,-73.98057,1,50,1,2,0.05,1,0,1455408000000000000
20611,72014,1,0,40.71156,-73.96218,1,85,3,174,1.54,4,288,1561161600000000000
20724,961342,1,3,40.70032,-73.9383,1,65,4,24,0.28,1,317,1558828800000000000
20734,78460,1,34,40.68233,-73.97261,0,131,4,166,3.4,1,207,1561593600000000000
20755,51038,1,19,40.68634,-73.966,1,98,7,16,0.2,6,185,1559260800000000000
20853,79070,1,34,40.68035,-73.97162,0,250,7,21,0.3,1,158,1558396800000000000
20913,79402,1,0,40.70984,-73.95775,0,100,5,168,1.57,1,0,1532217600000000000
21293,44145,1,3,40.70093,-73.92609,0,105,3,118,1.05,2,9,1560816000000000000
21456,42032,0,4,40.79764,-73.96177,0,140,3,81,0.71,1,198,1562457600000000000
21644,82685,0,2,40.82803,-73.94731,1,89,1,1,0.11,1,365,1539043200000000000
21794,83257,0,12,40.74008,-74.00271,1,98,30,30,0.27,2,364,1556668800000000000
22911,87773,1,1,40.68413,-73.92357,0,125,7,139,1.23,2,311,1540684800000000000
22918,32294,0,2,40.82279,-73.95139,1,60,3,11,0.87,3,219,1546473600000000000
23135,11481,1,45,40.67967,-74.00154,0,175,2,233,2.09,3,342,1561334400000000000
23501,63318,0,15,40.83927,-73.94281,1,65,2,68,0.6,1,312,1351728000000000000
23686,93790,0,16,40.73096,-74.00319,0,500,4,46,0.55,2,243,1558137600000000000
24143,97219,1,0,40.71332,-73.94177,1,101,3,335,3.02,1,152,1559088000000000000
24285,97797,1,22,40.66941,-73.98109,0,220,30,88,0.79,1,9,1541116800000000000
25235,87773,1,1,40.68373,-73.92377,0,125,90,162,1.46,2,137,1561680000000000000
25406,105538,1,0,40.71459,-73.94844,0,80,30,29,0.4,1,222,1527292800000000000
25696,107628,0,2,40.8092,-73.94421,1,100,2,170,1.61,1,346,1561248000000000000
26012,109589,1,42,40.68157,-73.98989,0,200,30,19,0.2,1,208,1489708800000000000
26362,59734,0,5,40.75527,-73.99291,1,59,2,334,3.0,2,279,1560643200000000000
26520,51038,1,19,40.68698,-73.96572,1,125,2,19,0.2,6,250,1559433600000000000
26559,112793,0,6,40.7288,-73.98192,0,140,7,12,0.13,1,164,1512950400000000000
26785,42273,1,39,40.66853,-73.98912,0,120,30,467,4.22,2,192,1546128000000000000
26933,72062,0,6,40.7254,-73.98157,0,350,2,7,0.06,4,298,1502236800000000000
26954,115157,0,26,40.74294,-73.98009,0,199,5,38,0.38,1,260,1449014400000000000
26969,115307,1,0,40.71942,-73.95748,0,325,3,324,3.01,1,107,1561248000000000000
27006,115560,0,4,40.77823,-73.97637,0,235,6,27,0.27,1,199,1556323200000000000
27385,72062,0,6,40.72555,-73.97965,0,225,1,115,1.05,4,299,1559865600000000000
27531,118971,1,39,40.66831,-73.98604,1,99,2,354,3.2,3,20,1558310400000000000
27644,119510,0,2,40.82754,-73.94919,0,170,2,195,2.03,1,318,1561939200000000000
27659,119588,1,39,40.66499,-73.97925,0,400,2,16,0.24,2,216,1546128000000000000
27759,119900,0,4,40.77842,-73.97556,0,170,7,13,0.12,1,224,1561507200000000000
27883,120223,0,6,40.72245,-73.98527,0,100,4,25,0.23,1,0,1323475200000000000
28321,65091,1,21,40.65593,-73.96053,1,75,2,9,0.08,1,324,1538697600000000000
28396,6197784,1,0,40.71923,-73.96468,1,90,1,9,0.08,1,245,1316304000000000000
28907,124352,0,7,40.778,-73.94822,0,150,5,21,0.19,1,189,1502755200000000000
29012,124797,0,15,40.85879,-73.93128,1,85,15,36,0.33,1,307,1502928000000000000
29013,35935,1,1,40.68332,-73.9547,1,70,3,63,0.58,2,310,1557792000000000000
29455,126607,0,2,40.81618,-73.94894,0,120,3,155,1.42,3,213,1560988800000000000
29628,127608,1,19,40.68414,-73.96351,1,89,3,260,2.35,1,278,1562112000000000000
29683,125857,0,6,40.72392,-73.99143,0,185,5,73,0.66,1,209,1561420800000000000
30031,129352,1,11,40.73494,-73.9503,1,50,3,193,1.86,1,0,1558310400000000000
30927,120335,0,13,40.71341,-73.98856,0,105,3,32,0.29,1,16,1560470400000000000
31130,117287,0,5,40.76754,-73.98399,1,130,2,50,0.45,3,234,1558828800000000000
31555,135619,0,16,40.73442,-74.00303,0,115,29,26,0.25,1,12,1561939200000000000
31902,137292,1,69,40.63188,-73.93248,1,77,2,2,0.02,1,178,1546300800000000000
31994,137814,1,19,40.6873,-73.9634,1,76,2,426,3.89,3,275,1561334400000000000
32023,137974,1,1,40.68296,-73.93662,0,125,3,227,2.09,2,163,1561248000000000000
32037,116599,1,19,40.6863,-73.96765,1,135,4,84,0.77,3,365,1561939200000000000
32100,138579,1,11,40.73409,-73.95348,0,250,29,3,0.03,1,34,1501372800000000000
32289,139612,1,0,40.71561,-73.94835,0,199,3,10,0.1,1,280,1528675200000000000
32331,139874,1,65,40.6857,-73.99183,0,140,2,4,0.04,1,0,1461456000000000000
32363,140025,2,27,40.74028,-73.83168,1,140,2,1,0.01,1,1,1316390400000000000
32965,137974,1,1,40.68281,-73.93524,0,115,3,124,1.72,2,170,1560988800000000000
32969,142833,1,0,40.71596,-73.93938,0,160,3,11,0.11,1,188,1562025600000000000
33009,143027,1,0,40.71492,-73.95935,0,195,4,240,2.19,1,214,1560729600000000000
33014,143048,0,6,40.72354,-73.98295,0,195,3,30,0.28,1,248,1560729600000000000
33223,72014,1,0,40.71165,-73.96087,1,80,3,200,1.86,4,262,1561161600000000000
34760,149929,1,24,40.69101,-73.97312,1,44,8,27,1.05,5,280,1561766400000000000
35526,120291,0,16,40.73474,-74.00101,1,156,4,79,0.74,1,307,1561161600000000000
36121,62165,1,34,40.67386,-73.96641,1,85,15,9,0.09,1,339,1368144000000000000
36133,142684,1,0,40.71536,-73.96057,1,125,3,155,1.61,1,1,1560384000000000000
36442,137432,1,34,40.6741,-73.96595,0,115,15,4,0.05,1,269,1535328000000000000
36647,157798,0,10,40.79295,-73.93997,1,69,2,34,0.32,1,10,1496016000000000000
36703,158284,0,16,40.73226,-74.00401,0,225,45,134,1.24,1,312,1553990400000000000
36934,159370,1,0,40.71363,-73.96398,0,125,6,27,0.25,1,189,1545868800000000000
38638,92788,0,7,40.77711,-73.9527,0,219,4,126,1.16,2,290,1561507200000000000
38663,165789,1,50,40.68559,-73.98094,0,475,3,23,0.27,1,230,1546214400000000000
39267,168417,0,7,40.77456,-73.95323,0,99,1,234,2.6,2,164,1559952000000000000
39282,168525,1,0,40.71088,-73.95055,1,69,4,202,1.86,2,53,1559001600000000000
39593,110506,2,32,40.74559,-73.92313,1,79,30,28,0.26,1,126,1555027200000000000
39704,170510,1,1,40.68306,-73.94659,0,135,2,309,2.86,2,3,1561161600000000000
40039,171851,1,108,40.70207,-73.98571,1,250,3,14,0.13,1,189,1303689600000000000
40453,174025,0,7,40.76123,-73.9642,0,250,3,4,0.08,1,365,1474588800000000000
41348,180083,1,42,40.66858,-73.99083,0,250,2,80,2.17,1,0,1562371200000000000
